,title,year,recipients,num_recipients,motivation
360,The Nobel Prize in Physics,1956,"['William Bradford Shockley', 'John Bardeen', 'Walter Houser Brattain']",3,“for their researches on semiconductors and their discovery of the transistor effect”
361,The Nobel Prize in Chemistry,1956,"['Sir Cyril Norman Hinshelwood', 'Nikolay Nikolaevich Semenov']",2,“for their researches into the mechanism of chemical reactions”
362,The Nobel Prize in Physiology or Medicine,1956,"['André Frédéric Cournand', 'Werner Forssmann', 'Dickinson W. Richards']",3,“for their discoveries concerning heart catheterization and pathological changes in the circulatory system”
363,The Nobel Prize in Literature,1956,['Juan Ramón Jiménez'],1,"“for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity”"
364,The Nobel Peace Prize,1956,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
365,The Nobel Prize in Physics,1955,"['Willis Eugene Lamb', 'Polykarp Kusch']",2,“for his discoveries concerning the fine structure of the hydrogen spectrum”
366,The Nobel Prize in Chemistry,1955,['Vincent du Vigneaud'],1,"“for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone”"
367,The Nobel Prize in Physiology or Medicine,1955,['Axel Hugo Theodor Theorell'],1,“for his discoveries concerning the nature and mode of action of oxidation enzymes”
368,The Nobel Prize in Literature,1955,['Halldór Kiljan Laxness'],1,“for his vivid epic power which has renewed the great narrative art of Iceland”
369,The Nobel Peace Prize,1955,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
370,The Nobel Prize in Physics,1954,"['Max Born', 'Walther Bothe']",2,"“for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction”"
371,The Nobel Prize in Chemistry,1954,['Linus Carl Pauling'],1,“for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances”
372,The Nobel Prize in Physiology or Medicine,1954,"['John Franklin Enders', 'Thomas Huckle Weller', 'Frederick Chapman Robbins']",3,“for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue”
373,The Nobel Prize in Literature,1954,['Ernest Miller Hemingway'],1,"“for his mastery of the art of narrative, most recently demonstrated in The Old Man and the Sea, and for the influence that he has exerted on contemporary style”"
374,The Nobel Peace Prize,1954,['Office of the United Nations High Commissioner for Refugees (UNHCR) '],1,
375,The Nobel Prize in Physics,1953,['Frits Zernike'],1,"“for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope”"
376,The Nobel Prize in Chemistry,1953,['Hermann Staudinger'],1,“for his discoveries in the field of macromolecular chemistry”
377,The Nobel Prize in Physiology or Medicine,1953,"['Hans Adolf Krebs', 'Fritz Albert Lipmann']",2,“for his discovery of the citric acid cycle”
378,The Nobel Prize in Literature,1953,['Sir Winston Leonard Spencer Churchill'],1,“for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values”
379,The Nobel Peace Prize,1953,['George Catlett Marshall'],1,
380,The Nobel Prize in Physics,1952,"['Felix Bloch', 'Edward Mills Purcell']",2,“for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith”
381,The Nobel Prize in Chemistry,1952,"['Archer John Porter Martin', 'Richard Laurence Millington Synge']",2,“for their invention of partition chromatography”
382,The Nobel Prize in Physiology or Medicine,1952,['Selman Abraham Waksman'],1,"“for his discovery of streptomycin, the first antibiotic effective against tuberculosis”"
383,The Nobel Prize in Literature,1952,['François Mauriac'],1,“for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life”
384,The Nobel Peace Prize,1952,['Albert Schweitzer'],1,
385,The Nobel Prize in Physics,1951,"['Sir John Douglas Cockcroft', 'Ernest Thomas Sinton Walton']",2,“for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles”
386,The Nobel Prize in Chemistry,1951,"['Edwin Mattison McMillan', 'Glenn Theodore Seaborg']",2,“for their discoveries in the chemistry of the transuranium elements”
387,The Nobel Prize in Physiology or Medicine,1951,['Max Theiler'],1,“for his discoveries concerning yellow fever and how to combat it”
388,The Nobel Prize in Literature,1951,['Pär Fabian Lagerkvist'],1,“for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind”
389,The Nobel Peace Prize,1951,['Léon Jouhaux'],1,
390,The Nobel Prize in Physics,1950,['Cecil Frank Powell'],1,“for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method”
391,The Nobel Prize in Chemistry,1950,"['Otto Paul Hermann Diels', 'Kurt Alder']",2,“for their discovery and development of the diene synthesis”
392,The Nobel Prize in Physiology or Medicine,1950,"['Edward Calvin Kendall', 'Tadeus Reichstein', 'Philip Showalter Hench']",3,"“for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects”"
393,The Nobel Prize in Literature,1950,['Earl (Bertrand Arthur William) Russell'],1,“in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought”
394,The Nobel Peace Prize,1950,['Ralph Bunche'],1,
395,The Nobel Prize in Physics,1949,['Hideki Yukawa'],1,“for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces”
396,The Nobel Prize in Chemistry,1949,['William Francis Giauque'],1,"“for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures”"
397,The Nobel Prize in Physiology or Medicine,1949,"['Walter Rudolf Hess', 'Antonio Caetano de Abreu Freire Egas Moniz']",2,“for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs”
398,The Nobel Prize in Literature,1949,['William Faulkner'],1,“for his powerful and artistically unique contribution to the modern American novel”
399,The Nobel Peace Prize,1949,['Lord (John) Boyd Orr of Brechin'],1,
400,The Nobel Prize in Physics,1948,['Patrick Maynard Stuart Blackett'],1,"“for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation”"
401,The Nobel Prize in Chemistry,1948,['Arne Wilhelm Kaurin Tiselius'],1,"“for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins”"
402,The Nobel Prize in Physiology or Medicine,1948,['Paul Hermann Müller'],1,“for his discovery of the high efficiency of DDT as a contact poison against several arthropods”
403,The Nobel Prize in Literature,1948,['Thomas Stearns Eliot'],1,"“for his outstanding, pioneer contribution to present-day poetry”"
404,The Nobel Peace Prize,1948,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
405,The Nobel Prize in Physics,1947,['Sir Edward Victor Appleton'],1,“for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer”
406,The Nobel Prize in Chemistry,1947,['Sir Robert Robinson'],1,"“for his investigations on plant products of biological importance, especially the alkaloids”"
407,The Nobel Prize in Physiology or Medicine,1947,"['Carl Ferdinand Cori', 'Gerty Theresa Cori, née Radnitz', 'Bernardo Alberto Houssay']",3,“for their discovery of the course of the catalytic conversion of glycogen”
408,The Nobel Prize in Literature,1947,['André Paul Guillaume Gide'],1,"“for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight”"
409,The Nobel Peace Prize,1947,"['Friends Service Council (The Quakers) ', 'American Friends Service Committee (The Quakers) ']",2,
410,The Nobel Prize in Physics,1946,['Percy Williams Bridgman'],1,"“for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics”"
411,The Nobel Prize in Chemistry,1946,"['James Batcheller Sumner', 'John Howard Northrop', 'Wendell Meredith Stanley']",3,“for his discovery that enzymes can be crystallized”
412,The Nobel Prize in Physiology or Medicine,1946,['Hermann Joseph Muller'],1,“for the discovery of the production of mutations by means of X-ray irradiation”
413,The Nobel Prize in Literature,1946,['Hermann Hesse'],1,"“for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style”"
414,The Nobel Peace Prize,1946,"['Emily Greene Balch', 'John Raleigh Mott']",2,
415,The Nobel Prize in Physics,1945,['Wolfgang Pauli'],1,"“for the discovery of the Exclusion Principle, also called the Pauli Principle”"
416,The Nobel Prize in Chemistry,1945,['Artturi Ilmari Virtanen'],1,"“for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method”"
417,The Nobel Prize in Physiology or Medicine,1945,"['Sir Alexander Fleming', 'Ernst Boris Chain', 'Sir Howard Walter Florey']",3,“for the discovery of penicillin and its curative effect in various infectious diseases”
418,The Nobel Prize in Literature,1945,['Gabriela Mistral'],1,"“for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world”"
419,The Nobel Peace Prize,1945,['Cordell Hull'],1,
420,The Nobel Prize in Physics,1944,['Isidor Isaac Rabi'],1,“for his resonance method for recording the magnetic properties of atomic nuclei”
421,The Nobel Prize in Chemistry,1944,['Otto Hahn'],1,“for his discovery of the fission of heavy nuclei”
422,The Nobel Prize in Physiology or Medicine,1944,"['Joseph Erlanger', 'Herbert Spencer Gasser']",2,“for their discoveries relating to the highly differentiated functions of single nerve fibres”
423,The Nobel Prize in Literature,1944,['Johannes Vilhelm Jensen'],1,"“for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style”"
424,The Nobel Peace Prize,1944,['Comité international de la Croix Rouge (International Committee of the Red Cross) '],1,
425,The Nobel Prize in Physics,1943,['Otto Stern'],1,“for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton”
426,The Nobel Prize in Chemistry,1943,['George de Hevesy'],1,“for his work on the use of isotopes as tracers in the study of chemical processes”
427,The Nobel Prize in Physiology or Medicine,1943,"['Henrik Carl Peter Dam', 'Edward Adelbert Doisy']",2,“for his discovery of vitamin K”
428,The Nobel Prize in Literature,1943,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
429,The Nobel Peace Prize,1943,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
430,The Nobel Prize in Physics,1942,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
431,The Nobel Prize in Chemistry,1942,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
432,The Nobel Prize in Physiology or Medicine,1942,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
433,The Nobel Prize in Literature,1942,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
434,The Nobel Peace Prize,1942,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
435,The Nobel Prize in Physics,1941,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
436,The Nobel Prize in Chemistry,1941,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
437,The Nobel Prize in Physiology or Medicine,1941,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
438,The Nobel Prize in Literature,1941,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
439,The Nobel Peace Prize,1941,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
440,The Nobel Prize in Physics,1940,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
441,The Nobel Prize in Chemistry,1940,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
442,The Nobel Prize in Physiology or Medicine,1940,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
443,The Nobel Prize in Literature,1940,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
444,The Nobel Peace Prize,1940,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
445,The Nobel Prize in Physics,1939,['Ernest Orlando Lawrence'],1,"“for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements”"
446,The Nobel Prize in Chemistry,1939,"['Adolf Friedrich Johann Butenandt', 'Leopold Ruzicka']",2,“for his work on sex hormones”
447,The Nobel Prize in Physiology or Medicine,1939,['Gerhard Domagk'],1,“for the discovery of the antibacterial effects of prontosil”
448,The Nobel Prize in Literature,1939,['Frans Eemil Sillanpää'],1,“for his deep understanding of his country’s peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature”
449,The Nobel Peace Prize,1939,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
450,The Nobel Prize in Physics,1938,['Enrico Fermi'],1,"“for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons”"
451,The Nobel Prize in Chemistry,1938,['Richard Kuhn'],1,“for his work on carotenoids and vitamins”
452,The Nobel Prize in Physiology or Medicine,1938,['Corneille Jean François Heymans'],1,“for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration”
453,The Nobel Prize in Literature,1938,['Pearl Buck'],1,“for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces”
454,The Nobel Peace Prize,1938,['Office international Nansen pour les Réfugiés (Nansen International Office for Refugees) '],1,
455,The Nobel Prize in Physics,1937,"['Clinton Joseph Davisson', 'George Paget Thomson']",2,“for their experimental discovery of the diffraction of electrons by crystals”
456,The Nobel Prize in Chemistry,1937,"['Walter Norman Haworth', 'Paul Karrer']",2,“for his investigations on carbohydrates and vitamin C”
457,The Nobel Prize in Physiology or Medicine,1937,['Albert von Szent-Györgyi Nagyrápolt'],1,"“for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid”"
458,The Nobel Prize in Literature,1937,['Roger Martin du Gard'],1,“for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle Les Thibault”
459,The Nobel Peace Prize,1937,"['Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)']",1,
460,The Nobel Prize in Physics,1936,"['Victor Franz Hess', 'Carl David Anderson']",2,“for his discovery of cosmic radiation”
461,The Nobel Prize in Chemistry,1936,['Petrus (Peter) Josephus Wilhelmus Debye'],1,“for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases”
462,The Nobel Prize in Physiology or Medicine,1936,"['Sir Henry Hallett Dale', 'Otto Loewi']",2,“for their discoveries relating to chemical transmission of nerve impulses”
463,The Nobel Prize in Literature,1936,['Eugene Gladstone O’Neill'],1,"“for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy”"
464,The Nobel Peace Prize,1936,['Carlos Saavedra Lamas'],1,
465,The Nobel Prize in Physics,1935,['James Chadwick'],1,“for the discovery of the neutron”
466,The Nobel Prize in Chemistry,1935,"['Frédéric Joliot', 'Irène Joliot-Curie']",2,“in recognition of their synthesis of new radioactive elements”
467,The Nobel Prize in Physiology or Medicine,1935,['Hans Spemann'],1,“for his discovery of the organizer effect in embryonic development”
468,The Nobel Prize in Literature,1935,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
469,The Nobel Peace Prize,1935,['Carl von Ossietzky'],1,
470,The Nobel Prize in Physics,1934,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
471,The Nobel Prize in Chemistry,1934,['Harold Clayton Urey'],1,“for his discovery of heavy hydrogen”
472,The Nobel Prize in Physiology or Medicine,1934,"['George Hoyt Whipple', 'George Richards Minot', 'William Parry Murphy']",3,“for their discoveries concerning liver therapy in cases of anaemia”
473,The Nobel Prize in Literature,1934,['Luigi Pirandello'],1,“for his bold and ingenious revival of dramatic and scenic art”
474,The Nobel Peace Prize,1934,['Arthur Henderson'],1,
475,The Nobel Prize in Physics,1933,"['Erwin Schrödinger', 'Paul Adrien Maurice Dirac']",2,“for the discovery of new productive forms of atomic theory”
476,The Nobel Prize in Chemistry,1933,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
477,The Nobel Prize in Physiology or Medicine,1933,['Thomas Hunt Morgan'],1,“for his discoveries concerning the role played by the chromosome in heredity”
478,The Nobel Prize in Literature,1933,['Ivan Alekseyevich Bunin'],1,“for the strict artistry with which he has carried on the classical Russian traditions in prose writing”
479,The Nobel Peace Prize,1933,['Sir Norman Angell (Ralph Lane)'],1,
480,The Nobel Prize in Physics,1932,['Werner Karl Heisenberg'],1,"“for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen”"
481,The Nobel Prize in Chemistry,1932,['Irving Langmuir'],1,“for his discoveries and investigations in surface chemistry”
482,The Nobel Prize in Physiology or Medicine,1932,"['Sir Charles Scott Sherrington', 'Edgar Douglas Adrian']",2,“for their discoveries regarding the functions of neurons”
483,The Nobel Prize in Literature,1932,['John Galsworthy'],1,“for his distinguished art of narration which takes its highest form in The Forsyte Saga”
484,The Nobel Peace Prize,1932,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
485,The Nobel Prize in Physics,1931,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
486,The Nobel Prize in Chemistry,1931,"['Carl Bosch', 'Friedrich Bergius']",2,“in recognition of their contributions to the invention and development of chemical high pressure methods”
487,The Nobel Prize in Physiology or Medicine,1931,['Otto Heinrich Warburg'],1,“for his discovery of the nature and mode of action of the respiratory enzyme”
488,The Nobel Prize in Literature,1931,['Erik Axel Karlfeldt'],1,“The poetry of Erik Axel Karlfeldt”
489,The Nobel Peace Prize,1931,"['Jane Addams', 'Nicholas Murray Butler']",2,
490,The Nobel Prize in Physics,1930,['Sir Chandrasekhara Venkata Raman'],1,“for his work on the scattering of light and for the discovery of the effect named after him”
491,The Nobel Prize in Chemistry,1930,['Hans Fischer'],1,“for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin”
492,The Nobel Prize in Physiology or Medicine,1930,['Karl Landsteiner'],1,“for his discovery of human blood groups”
493,The Nobel Prize in Literature,1930,['Sinclair Lewis'],1,"“for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters”"
494,The Nobel Peace Prize,1930,['Lars Olof Jonathan (Nathan) Söderblom'],1,
495,The Nobel Prize in Physics,1929,['Prince Louis-Victor Pierre Raymond de Broglie'],1,“for his discovery of the wave nature of electrons”
496,The Nobel Prize in Chemistry,1929,"['Arthur Harden', 'Hans Karl August Simon von Euler-Chelpin']",2,“for their investigations on the fermentation of sugar and fermentative enzymes”
497,The Nobel Prize in Physiology or Medicine,1929,"['Christiaan Eijkman', 'Sir Frederick Gowland Hopkins']",2,“for his discovery of the antineuritic vitamin”
498,The Nobel Prize in Literature,1929,['Thomas Mann'],1,"“principally for his great novel, Buddenbrooks, which has won steadily increased recognition as one of the classic works of contemporary literature”"
499,The Nobel Peace Prize,1929,['Frank Billings Kellogg'],1,
500,The Nobel Prize in Physics,1928,['Owen Willans Richardson'],1,“for his work on the thermionic phenomenon and especially for the discovery of the law named after him”
501,The Nobel Prize in Chemistry,1928,['Adolf Otto Reinhold Windaus'],1,“for the services rendered through his research into the constitution of the sterols and their connection with the vitamins”
502,The Nobel Prize in Physiology or Medicine,1928,['Charles Jules Henri Nicolle'],1,“for his work on typhus”
503,The Nobel Prize in Literature,1928,['Sigrid Undset'],1,“principally for her powerful descriptions of Northern life during the Middle Ages”
504,The Nobel Peace Prize,1928,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
505,The Nobel Prize in Physics,1927,"['Arthur Holly Compton', 'Charles Thomson Rees Wilson']",2,“for his discovery of the effect named after him”
506,The Nobel Prize in Chemistry,1927,['Heinrich Otto Wieland'],1,“for his investigations of the constitution of the bile acids and related substances”
507,The Nobel Prize in Physiology or Medicine,1927,['Julius Wagner-Jauregg'],1,“for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica”
508,The Nobel Prize in Literature,1927,['Henri Bergson'],1,“in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented”
509,The Nobel Peace Prize,1927,"['Ferdinand Buisson', 'Ludwig Quidde']",2,
510,The Nobel Prize in Physics,1926,['Jean Baptiste Perrin'],1,"“for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium”"
511,The Nobel Prize in Chemistry,1926,['The (Theodor) Svedberg'],1,“for his work on disperse systems”
512,The Nobel Prize in Physiology or Medicine,1926,['Johannes Andreas Grib Fibiger'],1,“for his discovery of the Spiroptera carcinoma”
513,The Nobel Prize in Literature,1926,['Grazia Deledda'],1,“for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general”
514,The Nobel Peace Prize,1926,"['Aristide Briand', 'Gustav Stresemann']",2,
515,The Nobel Prize in Physics,1925,"['James Franck', 'Gustav Ludwig Hertz']",2,“for their discovery of the laws governing the impact of an electron upon an atom”
516,The Nobel Prize in Chemistry,1925,['Richard Adolf Zsigmondy'],1,"“for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry”"
517,The Nobel Prize in Physiology or Medicine,1925,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
518,The Nobel Prize in Literature,1925,['George Bernard Shaw'],1,"“for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty”"
519,The Nobel Peace Prize,1925,"['Sir Austen Chamberlain', 'Charles Gates Dawes']",2,
520,The Nobel Prize in Physics,1924,['Karl Manne Georg Siegbahn'],1,“for his discoveries and research in the field of X-ray spectroscopy”
521,The Nobel Prize in Chemistry,1924,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
522,The Nobel Prize in Physiology or Medicine,1924,['Willem Einthoven'],1,“for his discovery of the mechanism of the electrocardiogram”
523,The Nobel Prize in Literature,1924,['Wladyslaw Stanislaw Reymont'],1,"“for his great national epic, The Peasants”"
524,The Nobel Peace Prize,1924,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
525,The Nobel Prize in Physics,1923,['Robert Andrews Millikan'],1,“for his work on the elementary charge of electricity and on the photoelectric effect”
526,The Nobel Prize in Chemistry,1923,['Fritz Pregl'],1,“for his invention of the method of micro-analysis of organic substances”
527,The Nobel Prize in Physiology or Medicine,1923,"['Frederick Grant Banting', 'John James Rickard Macleod']",2,“for the discovery of insulin”
528,The Nobel Prize in Literature,1923,['William Butler Yeats'],1,"“for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation”"
529,The Nobel Peace Prize,1923,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
530,The Nobel Prize in Physics,1922,['Niels Henrik David Bohr'],1,“for his services in the investigation of the structure of atoms and of the radiation emanating from them”
531,The Nobel Prize in Chemistry,1922,['Francis William Aston'],1,"“for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule”"
532,The Nobel Prize in Physiology or Medicine,1922,"['Archibald Vivian Hill', 'Otto Fritz Meyerhof']",2,“for his discovery relating to the production of heat in the muscle”
533,The Nobel Prize in Literature,1922,['Jacinto Benavente'],1,“for the happy manner in which he has continued the illustrious traditions of the Spanish drama”
534,The Nobel Peace Prize,1922,['Fridtjof Nansen'],1,
535,The Nobel Prize in Physics,1921,['Albert Einstein'],1,"“for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect”"
536,The Nobel Prize in Chemistry,1921,['Frederick Soddy'],1,"“for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes”"
537,The Nobel Prize in Physiology or Medicine,1921,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
538,The Nobel Prize in Literature,1921,['Anatole France'],1,"“in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament”"
539,The Nobel Peace Prize,1921,"['Karl Hjalmar Branting', 'Christian Lous Lange']",2,
540,The Nobel Prize in Physics,1920,['Charles Edouard Guillaume'],1,“in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys”
541,The Nobel Prize in Chemistry,1920,['Walther Hermann Nernst'],1,“in recognition of his work in thermochemistry”
542,The Nobel Prize in Physiology or Medicine,1920,['Schack August Steenberg Krogh'],1,“for his discovery of the capillary motor regulating mechanism”
543,The Nobel Prize in Literature,1920,['Knut Pedersen Hamsun'],1,"“for his monumental work, Growth of the Soil”"
544,The Nobel Peace Prize,1920,['Léon Victor Auguste Bourgeois'],1,
545,The Nobel Prize in Physics,1919,['Johannes Stark'],1,“for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields”
546,The Nobel Prize in Chemistry,1919,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
547,The Nobel Prize in Physiology or Medicine,1919,['Jules Bordet'],1,“for his discoveries relating to immunity”
548,The Nobel Prize in Literature,1919,['Carl Friedrich Georg Spitteler'],1,"“in special appreciation of his epic, Olympian Spring”"
549,The Nobel Peace Prize,1919,['Thomas Woodrow Wilson'],1,
550,The Nobel Prize in Physics,1918,['Max Karl Ernst Ludwig Planck'],1,“in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta”
551,The Nobel Prize in Chemistry,1918,['Fritz Haber'],1,“for the synthesis of ammonia from its elements”
552,The Nobel Prize in Physiology or Medicine,1918,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
553,The Nobel Prize in Literature,1918,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
554,The Nobel Peace Prize,1918,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
555,The Nobel Prize in Physics,1917,['Charles Glover Barkla'],1,“for his discovery of the characteristic Röntgen radiation of the elements”
556,The Nobel Prize in Chemistry,1917,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
557,The Nobel Prize in Physiology or Medicine,1917,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
558,The Nobel Prize in Literature,1917,"['Karl Adolph Gjellerup', 'Henrik Pontoppidan']",2,"“for his varied and rich poetry, which is inspired by lofty ideals”"
559,The Nobel Peace Prize,1917,['Comité international de la Croix Rouge (International Committee of the Red Cross) '],1,
560,The Nobel Prize in Physics,1916,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
561,The Nobel Prize in Chemistry,1916,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
562,The Nobel Prize in Physiology or Medicine,1916,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
563,The Nobel Prize in Literature,1916,['Carl Gustaf Verner von Heidenstam'],1,“in recognition of his significance as the leading representative of a new era in our literature”
564,The Nobel Peace Prize,1916,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
565,The Nobel Prize in Physics,1915,"['Sir William Henry Bragg', 'William Lawrence Bragg']",2,“for their services in the analysis of crystal structure by means of X-rays”
